fuelbeds,filename,c_total,c_canopy,c_shrub,c_herb,c_wood,c_llm,c_ground,c_total_f,c_canopy_f,c_shrub_f,c_herb_f,c_wood_f,c_llm_f,c_ground_f,c_total_s,c_canopy_s,c_shrub_s,c_herb_s,c_wood_s,c_llm_s,c_ground_s,c_total_r,c_canopy_r,c_wood_r,c_llm_r,c_ground_r,ch4,co,co2,nmhc,pm,pm10,pm25,e_ch4_f,e_co_f,e_co2_f,e_nmhc_f,e_pm_f,e_pm10_f,e_pm25_f,e_ch4_s,e_co_s,e_co2_s,e_nmhc_s,e_pm_s,e_pm10_s,e_pm25_s,e_ch4_r,e_co_r,e_co2_r,e_nmhc_r,e_pm_r,e_pm10_r,e_pm25_r,c_overstory_crown,c_midstory_crown,c_understory_crown,c_snagc1f_crown,c_snagc1f_wood,c_snagc1_wood,c_snagc2_wood,c_snagc3_wood,c_ladder,c_shrub_1live,c_shrub_2live,c_herb_1live,c_herb_2live,c_piles,c_wood_1hr,c_wood_10hr,c_wood_100hr,c_wood_s1000hr,c_wood_r1000hr,c_wood_s10khr,c_wood_r10khr,c_wood_s+10khr,c_wood_r+10khr,c_stump_sound,c_stump_rotten,c_stump_lightered,c_litter,c_lichen,c_moss,c_upperduff,c_lowerduff,c_basal,c_squirrel,ch4_canopy,ch4_shrub,ch4_herb,ch4_wood,ch4_llm,ch4_ground,co_canopy,co_shrub,co_herb,co_wood,co_llm,co_ground,co2_canopy,co2_shrub,co2_herb,co2_wood,co2_llm,co2_ground,nmhc_canopy,nmhc_shrub,nmhc_herb,nmhc_wood,nmhc_llm,nmhc_ground,pm_canopy,pm_shrub,pm_herb,pm_wood,pm_llm,pm_ground,pm10_canopy,pm10_shrub,pm10_herb,pm10_wood,pm10_llm,pm10_ground,pm25_canopy,pm25_shrub,pm25_herb,pm25_wood,pm25_llm,pm25_ground,heat_total,heat_flaming,heat_smoldering,heat_residual
70,FB_0070_FCCS.xml,30.84,3.01,2.58,0.19,16.41,0.88,7.77,12.95,1.88,2.32,0.17,7.36,0.8,0.43,9.14,0.62,0.26,0.02,4.45,0.09,3.71,8.74,0.51,4.61,0.0,3.62,299.9,6242.14,97202.81,218.24,1112.13,804.99,740.82,38.88,1149.91,44058.0,46.63,243.78,149.3,129.82,133.45,2603.5,27170.69,87.74,443.96,335.24,312.38,127.57,2488.72,25974.12,83.87,424.39,320.45,298.61,1.11,0.42,0.03,0.03,0.0,0.11,0.42,0.8,0.08,2.58,0.0,0.19,0.0,0.12,0.25,1.02,1.78,4.62,4.81,1.62,2.14,0.0,0.0,0.01,0.05,0.0,0.88,0.0,0.0,4.32,3.45,0.0,0.0,22.11,10.74,0.77,154.19,3.68,108.4,488.77,280.44,20.14,3227.54,95.98,2129.27,9734.65,8671.47,622.84,51939.54,2969.17,23265.15,17.59,10.85,0.78,113.33,3.71,71.98,90.14,56.24,4.04,577.79,19.25,364.66,63.01,36.2,2.6,416.57,12.39,274.21,57.38,32.07,2.3,382.87,10.98,255.22,493443180.38,207259956.14,146313631.03,139869593.21
71,FB_0071_FCCS.xml,7.38,0.47,3.94,0.56,1.65,0.76,0.0,6.48,0.44,3.55,0.5,1.3,0.68,0.0,0.77,0.03,0.39,0.06,0.21,0.08,0.0,0.14,0.0,0.14,0.0,0.0,46.21,926.55,24523.18,46.33,183.29,114.07,100.15,28.49,595.78,21946.57,33.67,148.94,90.66,79.01,15.04,280.76,2187.03,10.74,29.15,19.87,17.95,2.68,50.01,389.59,1.91,5.19,3.54,3.2,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.46,0.09,0.0,0.34,0.42,0.57,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,2.53,23.35,3.29,12.56,4.47,0.0,51.51,470.92,66.44,247.45,90.24,0.0,1583.79,13154.12,1855.84,5408.74,2520.7,0.0,2.71,23.98,3.38,11.65,4.6,0.0,11.3,96.63,13.63,43.21,18.52,0.0,6.96,59.91,8.45,27.27,11.48,0.0,6.09,52.53,7.41,24.05,10.07,0.0,118073321.47,103613177.14,12273732.36,2186411.97
72,FB_0072_FCCS.xml,10.96,0.65,0.45,5.84,0.51,3.51,0.0,9.89,0.6,0.4,5.26,0.47,3.16,0.0,1.07,0.04,0.04,0.58,0.04,0.35,0.0,0.0,0.0,0.0,0.0,0.0,64.48,1301.42,36560.01,66.4,268.09,166.15,145.67,43.5,909.63,33508.18,51.41,227.41,138.42,120.63,20.91,390.37,3040.86,14.93,40.53,27.62,24.96,0.08,1.41,10.97,0.05,0.15,0.1,0.09,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.45,0.0,5.56,0.28,0.0,0.17,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,3.58,2.64,34.59,2.88,20.8,0.0,72.79,53.2,697.61,58.35,419.47,0.0,2171.27,1486.17,19486.31,1699.3,11716.96,0.0,3.79,2.71,35.52,3.01,21.36,0.0,15.63,10.92,143.14,12.32,86.07,0.0,9.65,6.77,88.75,7.62,53.36,0.0,8.45,5.94,77.82,6.67,46.79,0.0,175324458.72,158197382.34,17065494.27,61582.11
73,FB_0073_FCCS.xml,15.56,3.52,0.68,2.78,5.34,3.24,0.0,13.46,2.86,0.61,2.5,4.57,2.91,0.0,1.63,0.42,0.07,0.28,0.54,0.32,0.0,0.47,0.24,0.23,0.0,0.0,100.27,2004.85,51597.12,99.32,389.22,242.71,213.24,59.24,1238.67,45628.86,70.01,309.67,188.49,164.26,31.87,595.11,4635.7,22.76,61.79,42.11,38.05,9.16,171.07,1332.56,6.54,17.76,12.11,10.94,2.88,0.0,0.0,0.0,0.09,0.0,0.21,0.34,0.0,0.68,0.0,2.78,0.0,0.0,0.76,1.19,3.21,0.05,0.04,0.03,0.03,0.02,0.02,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,25.45,4.03,16.47,35.18,19.15,0.0,503.32,81.19,332.19,701.87,386.27,0.0,11567.72,2267.94,9279.19,17692.53,10789.74,0.0,24.06,4.13,16.92,34.54,19.67,0.0,90.74,16.66,68.16,134.39,79.26,0.0,57.05,10.33,42.26,83.93,49.14,0.0,50.26,9.06,37.06,73.78,43.09,0.0,248915248.1,215420997.49,26015845.61,7478404.99
74,FB_0074_FCCS.xml,7.72,1.63,0.21,0.67,3.83,1.38,0.0,5.67,1.07,0.19,0.6,2.58,1.24,0.0,1.23,0.33,0.02,0.07,0.68,0.14,0.0,0.82,0.24,0.58,0.0,0.0,65.09,1271.28,25068.2,58.17,208.31,132.47,117.13,24.97,522.09,19232.33,29.51,130.52,79.45,69.23,24.08,449.6,3502.21,17.2,46.68,31.82,28.74,16.04,299.59,2333.66,11.46,31.1,21.2,19.15,0.48,0.0,0.0,0.0,0.1,0.0,0.25,0.29,0.51,0.21,0.0,0.65,0.02,0.0,0.17,0.59,1.57,0.62,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,15.75,1.24,3.95,35.96,8.18,0.0,304.67,25.07,79.73,696.83,164.98,0.0,5220.26,700.39,2227.01,12312.29,4608.25,0.0,13.44,1.28,4.06,30.98,8.4,0.0,45.96,5.14,16.36,106.99,33.85,0.0,29.54,3.19,10.14,68.61,20.99,0.0,26.21,2.8,8.89,60.83,18.4,0.0,123550127.62,90798851.54,19654619.37,13096656.7
75,FB_0075_FCCS.xml,24.39,1.04,0.12,0.0,4.86,4.91,13.46,9.51,0.91,0.11,0.0,2.73,4.42,1.35,11.04,0.1,0.01,0.0,1.03,0.49,9.41,3.84,0.04,1.1,0.0,2.7,333.48,6320.78,74642.49,257.76,784.11,518.49,464.18,41.83,874.64,32219.18,49.44,218.66,133.1,115.99,216.44,4041.65,31482.94,154.6,419.63,286.01,258.4,75.21,1404.48,10940.37,53.72,145.82,99.39,89.79,0.93,0.0,0.02,0.0,0.0,0.0,0.0,0.09,0.0,0.12,0.0,0.0,0.0,0.0,0.08,1.02,1.35,0.27,0.36,0.49,0.76,0.22,0.31,0.0,0.0,0.0,4.91,0.0,0.0,13.42,0.0,0.04,0.0,6.58,0.7,0.0,53.81,29.05,243.34,131.79,14.2,0.0,1031.7,585.93,4557.16,3456.17,396.76,0.0,15327.69,16366.7,39095.17,6.57,0.72,0.0,44.05,29.84,176.58,25.91,2.91,0.0,143.81,120.23,491.25,16.14,1.81,0.0,93.44,74.54,332.57,14.17,1.58,0.0,83.2,65.36,299.86,390194203.45,152111808.51,176684311.17,61398083.76
76,FB_0076_FCCS.xml,19.41,0.61,0.02,2.8,2.61,3.87,9.5,8.51,0.37,0.01,2.52,1.17,3.49,0.95,8.12,0.13,0.0,0.28,0.67,0.39,6.65,2.78,0.11,0.77,0.0,1.9,251.13,4773.1,59916.9,196.88,609.98,401.49,358.92,37.43,782.73,28833.42,44.24,195.68,119.11,103.8,159.2,2972.83,23157.24,113.71,308.65,210.37,190.07,54.49,1017.54,7926.24,38.92,105.65,72.01,65.06,0.34,0.0,0.0,0.0,0.0,0.0,0.11,0.17,0.0,0.02,0.0,2.78,0.02,0.0,0.08,0.34,0.36,0.25,0.32,0.45,0.68,0.06,0.08,0.0,0.0,0.0,3.87,0.0,0.0,9.5,0.0,0.0,0.0,6.35,0.1,16.58,33.44,22.93,171.73,122.16,1.97,334.41,635.86,462.53,3216.17,1938.65,55.03,9341.05,8071.22,12919.9,27591.05,5.29,0.1,17.03,26.28,23.55,124.62,17.65,0.4,68.62,81.71,94.91,346.69,11.41,0.25,42.54,53.74,58.84,234.71,10.14,0.22,37.31,48.03,51.6,211.63,310569643.87,136127111.35,129959957.86,44482574.65
77,FB_0077_FCCS.xml,27.97,4.01,1.36,0.05,11.62,3.63,7.31,15.87,2.96,1.22,0.04,7.65,3.26,0.73,8.53,0.61,0.14,0.0,2.3,0.36,5.12,3.58,0.44,1.67,0.0,1.46,306.68,5878.68,88305.61,251.6,824.32,535.45,476.62,69.73,1456.76,53786.53,82.39,364.92,222.3,193.72,167.01,3117.21,24318.91,119.27,323.79,220.7,199.39,69.94,1304.71,10200.17,49.94,135.61,92.44,83.51,0.88,1.29,0.73,0.0,0.0,0.0,0.08,1.02,0.02,1.36,0.0,0.05,0.0,0.12,0.68,2.79,2.99,2.06,1.11,0.31,0.19,1.24,0.12,0.0,0.0,0.0,3.63,0.0,0.0,7.31,0.0,0.0,0.0,33.67,8.05,0.27,111.06,21.47,132.15,657.92,162.38,5.54,2144.93,433.07,2474.84,13034.53,4535.87,154.65,37252.43,12096.84,21231.3,30.14,8.27,0.28,94.96,22.05,95.89,108.11,33.32,1.14,326.11,88.86,266.78,68.73,20.66,0.7,209.66,55.09,180.61,60.76,18.12,0.62,185.96,48.31,162.85,447594354.92,253918819.66,136455411.16,57220124.1
78,FB_0078_FCCS.xml,10.18,0.0,4.88,0.83,3.48,0.99,0.0,9.19,0.0,4.39,0.75,3.15,0.89,0.0,0.97,0.0,0.49,0.08,0.3,0.1,0.0,0.02,0.0,0.02,0.0,0.0,59.89,1208.67,33968.21,61.68,249.05,154.34,135.32,40.43,845.28,31137.54,47.78,211.32,128.63,112.09,19.04,355.57,2769.72,13.6,36.92,25.16,22.73,0.42,7.83,60.96,0.3,0.81,0.55,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,0.0,0.83,0.0,0.0,0.93,2.12,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.89,4.94,20.2,5.85,0.0,0.0,582.74,99.66,408.18,118.08,0.0,0.0,16277.78,2783.76,11608.25,3298.42,0.0,0.0,29.67,5.07,20.92,6.01,0.0,0.0,119.57,20.45,84.8,24.23,0.0,0.0,74.14,12.68,52.51,15.02,0.0,0.0,65.01,11.12,46.02,13.17,0.0,162891125.79,147005189.21,15543840.58,342096.0
79,FB_0079_FCCS.xml,3.49,0.0,0.79,2.32,0.08,0.3,0.0,3.14,0.0,0.71,2.09,0.08,0.27,0.0,0.34,0.0,0.08,0.23,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,20.58,415.28,11634.76,21.17,85.39,52.93,46.41,13.83,289.18,10652.46,16.34,72.29,44.01,38.35,6.75,126.1,982.3,4.82,13.09,8.92,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,2.32,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,13.73,0.44,1.76,0.0,0.0,93.97,276.83,8.95,35.53,0.0,0.0,2624.97,7732.66,284.74,992.39,0.0,0.0,4.79,14.1,0.48,1.81,0.0,0.0,19.28,56.8,2.01,7.29,0.0,0.0,11.96,35.22,1.24,4.52,0.0,0.0,10.48,30.88,1.08,3.96,0.0,55804657.6,50291943.84,5512713.76,0.0
80,FB_0080_FCCS.xml,5.53,0.0,0.12,4.73,0.55,0.13,0.0,4.97,0.0,0.11,4.26,0.49,0.11,0.0,0.55,0.0,0.01,0.47,0.05,0.01,0.0,0.01,0.0,0.01,0.0,0.0,32.83,661.84,18434.18,33.67,135.54,84.05,73.71,21.86,457.14,16839.68,25.84,114.29,69.56,60.62,10.75,200.78,1564.02,7.68,20.85,14.21,12.84,0.21,3.91,30.48,0.15,0.41,0.28,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,4.64,0.09,0.0,0.08,0.25,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,28.0,3.37,0.74,0.0,0.0,14.39,564.73,67.75,14.97,0.0,0.0,401.82,15774.63,1839.46,418.27,0.0,0.0,0.73,28.76,3.42,0.76,0.0,0.0,2.95,115.88,13.63,3.07,0.0,0.0,1.83,71.84,8.47,1.9,0.0,0.0,1.6,63.0,7.43,1.67,0.0,88451198.4,79502782.56,8777367.84,171048.0
81,FB_0081_FCCS.xml,5.12,0.0,0.5,3.54,0.17,0.91,0.0,4.61,0.0,0.45,3.19,0.16,0.82,0.0,0.51,0.0,0.05,0.35,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,30.24,610.08,17075.93,31.09,125.36,77.71,68.14,20.29,424.26,15628.51,23.98,106.07,64.56,56.26,9.95,185.81,1447.42,7.11,19.29,13.15,11.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.52,0.02,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,20.97,0.94,5.39,0.0,0.0,59.29,422.99,19.06,108.72,0.0,0.0,1656.23,11815.51,567.19,3037.0,0.0,0.0,3.02,21.54,0.99,5.54,0.0,0.0,12.17,86.8,4.09,22.31,0.0,0.0,7.54,53.81,2.52,13.83,0.0,0.0,6.61,47.19,2.21,12.13,0.0,81907672.0,73784656.8,8123015.2,0.0
82,FB_0082_FCCS.xml,6.05,0.0,0.18,4.17,0.49,1.2,0.0,5.45,0.0,0.16,3.76,0.45,1.08,0.0,0.6,0.0,0.02,0.42,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,35.73,720.86,20175.9,36.73,148.12,91.82,80.51,23.97,501.27,18465.43,28.33,125.32,76.28,66.47,11.69,218.28,1700.31,8.35,22.66,15.45,13.96,0.07,1.3,10.16,0.05,0.14,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,4.17,0.0,0.0,0.17,0.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,24.71,2.85,7.11,0.0,0.0,21.34,498.29,57.73,143.5,0.0,0.0,596.22,13918.79,1652.63,4008.25,0.0,0.0,1.09,25.37,2.96,7.31,0.0,0.0,4.38,102.25,12.05,29.44,0.0,0.0,2.72,63.39,7.46,18.26,0.0,0.0,2.38,55.59,6.53,16.01,0.0,96777435.2,87178179.68,9542239.52,57016.0
83,FB_0083_FCCS.xml,10.6,0.0,2.98,4.64,0.08,2.9,0.0,9.55,0.0,2.68,4.17,0.08,2.61,0.0,1.06,0.0,0.3,0.46,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,62.7,1264.77,35363.63,64.43,259.7,161.0,141.18,42.0,878.27,32352.94,49.64,219.57,133.65,116.47,20.7,386.5,3010.69,14.78,40.13,27.35,24.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,4.64,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64,27.45,0.44,17.17,0.0,0.0,355.86,553.66,8.95,346.3,0.0,0.0,9940.31,15465.32,284.74,9673.26,0.0,0.0,18.12,28.19,0.48,17.63,0.0,0.0,73.02,113.61,2.01,71.06,0.0,0.0,45.27,70.44,1.24,44.06,0.0,0.0,39.7,61.76,1.08,38.63,0.0,169639499.48,152743301.54,16896197.95,0.0
84,FB_0084_FCCS.xml,9.67,0.01,3.7,3.71,0.61,1.63,0.0,8.69,0.01,3.33,3.34,0.54,1.47,0.0,0.96,0.0,0.37,0.37,0.06,0.16,0.0,0.02,0.0,0.02,0.0,0.0,57.42,1157.66,32228.93,58.88,237.0,146.97,128.89,38.22,799.08,29435.76,45.17,199.77,121.6,105.97,18.85,352.05,2742.37,13.47,36.55,24.91,22.51,0.35,6.52,50.8,0.25,0.68,0.46,0.42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,3.71,0.0,0.0,0.08,0.17,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.06,21.9,21.96,3.82,9.68,0.0,1.19,441.78,442.93,76.61,195.16,0.0,36.48,12340.12,12372.26,2028.57,5451.51,0.0,0.06,22.5,22.55,3.83,9.94,0.0,0.26,90.65,90.89,15.16,40.05,0.0,0.16,56.2,56.35,9.43,24.83,0.0,0.14,49.28,49.41,8.28,21.77,0.0,154646288.35,138970855.1,15390353.25,285080.0
85,FB_0085_FCCS.xml,38.86,0.21,2.21,0.06,2.09,0.93,33.36,7.7,0.18,1.99,0.06,1.39,0.88,3.21,23.36,0.02,0.22,0.01,0.39,0.05,22.68,7.8,0.01,0.31,0.0,7.48,478.02,9564.81,118777.4,326.85,1659.07,1232.07,1142.62,23.12,685.31,26204.2,27.74,144.88,88.65,77.09,341.07,6657.74,69408.16,224.27,1135.32,857.33,798.92,113.83,2221.76,23165.04,74.84,378.87,286.1,266.61,0.18,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.46,1.75,0.05,0.02,0.02,0.17,0.25,0.71,0.49,0.44,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.38,0.54,32.0,1.31,0.0,0.05,1.03,9.2,0.27,14.34,3.32,449.86,25.58,240.26,7.05,321.36,91.57,8878.98,712.39,7429.14,217.99,6799.53,3132.11,100486.24,0.97,9.29,0.27,11.69,3.61,301.01,5.02,48.19,1.41,59.94,18.8,1525.71,3.3,31.02,0.91,41.53,11.83,1143.49,2.95,27.48,0.81,37.7,10.39,1063.3,621816009.42,123276141.43,373788593.8,124751274.18
86,FB_0086_FCCS.xml,38.95,0.21,2.21,0.04,2.09,2.08,32.33,8.61,0.18,1.99,0.03,1.39,1.97,3.05,22.41,0.02,0.22,0.0,0.39,0.1,21.67,7.93,0.01,0.31,0.0,7.61,468.78,9412.01,119424.51,322.25,1636.3,1212.43,1123.66,25.83,765.92,29284.46,31.0,161.91,99.07,86.14,327.17,6386.34,66578.97,215.12,1089.04,822.38,766.36,115.77,2259.75,23561.08,76.12,385.35,290.99,271.16,0.18,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.46,1.75,0.02,0.02,0.02,0.17,0.25,0.71,0.49,0.44,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2.08,30.4,1.88,0.0,0.05,1.02,9.2,0.15,14.34,7.43,436.63,25.4,240.26,4.03,321.36,205.02,8615.93,710.16,7429.14,124.57,6799.53,7012.79,97348.34,0.96,9.29,0.16,11.69,8.09,292.05,4.98,48.19,0.81,59.94,42.1,1480.28,3.28,31.02,0.52,41.53,26.48,1109.61,2.93,27.48,0.46,37.7,23.26,1031.84,623203656.36,137767218.7,358552304.62,126884133.04
87,FB_0087_FCCS.xml,45.99,1.51,1.23,0.03,1.24,1.65,40.33,7.95,1.23,1.11,0.03,0.83,1.56,3.21,24.71,0.18,0.12,0.0,0.24,0.09,24.07,13.33,0.1,0.18,0.0,13.05,579.16,11543.65,140065.77,393.74,1997.78,1487.23,1380.19,23.87,705.93,27049.06,28.63,149.67,91.66,79.71,360.72,7040.5,73413.25,237.18,1200.59,906.6,844.84,194.57,3797.22,39603.46,127.93,647.52,488.96,455.64,1.16,0.0,0.0,0.0,0.03,0.0,0.09,0.14,0.08,0.5,0.73,0.01,0.02,0.07,0.08,0.17,0.36,0.33,0.19,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.21,0.02,1.42,32.0,8.28,0.0,0.05,7.79,5.11,0.12,8.45,6.04,551.66,189.39,133.45,3.02,186.19,165.38,10866.23,5011.56,4126.31,93.43,4050.98,5581.02,121202.47,7.12,5.16,0.12,6.88,6.51,367.95,36.74,26.76,0.61,35.23,33.85,1864.59,24.44,17.23,0.39,24.43,21.36,1399.39,21.89,15.26,0.35,22.14,18.78,1301.77,735870591.29,127245416.69,395352067.16,213273107.44
88,FB_0088_FCCS.xml,148.95,0.1,0.84,0.04,1.92,13.68,132.37,25.97,0.09,0.76,0.03,1.29,13.0,10.8,81.59,0.01,0.08,0.0,0.34,0.68,80.48,41.38,0.0,0.29,0.0,41.09,1873.4,37359.41,453705.84,1274.09,6464.97,4811.96,4465.55,77.92,2311.21,88335.43,93.5,488.33,298.74,259.77,1191.28,23254.18,242418.76,783.3,3965.45,2994.48,2790.5,604.2,11794.02,122951.65,397.28,2011.19,1518.74,1415.28,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.15,0.02,0.02,0.02,0.17,0.25,0.71,0.33,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.68,108.0,24.34,0.0,0.03,0.42,3.51,0.15,13.04,48.99,1807.28,10.83,91.74,4.03,292.9,1352.02,35607.89,327.21,2836.76,124.57,6257.08,46246.51,397913.71,0.42,3.55,0.16,10.67,53.37,1205.93,2.16,18.4,0.81,54.72,277.66,6111.22,1.4,11.84,0.52,37.86,174.61,4585.72,1.24,10.49,0.46,34.35,153.4,4265.6,2383232256.85,415572398.54,1305518561.4,662141296.91
89,FB_0089_FCCS.xml,111.44,0.1,0.58,0.95,1.92,8.07,99.83,16.18,0.09,0.52,0.85,1.29,7.67,5.76,49.67,0.01,0.06,0.09,0.34,0.4,48.77,45.59,0.0,0.29,0.0,45.3,1439.37,28588.71,338045.45,972.75,4933.84,3682.15,3419.72,48.53,1439.29,55016.32,58.23,304.15,186.07,161.8,725.18,14155.73,147571.48,476.83,2413.92,1822.86,1698.68,665.65,12993.69,135457.66,437.69,2215.76,1673.22,1559.24,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.11,0.93,0.02,0.02,0.17,0.25,0.71,0.33,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07,57.6,42.2,0.0,0.03,0.42,2.39,3.94,13.04,28.89,1390.68,10.83,62.52,102.73,292.9,797.43,27322.31,327.21,1933.17,3176.49,6257.08,27276.35,299075.15,0.42,2.42,3.97,10.67,31.48,923.8,2.16,12.54,20.6,54.72,163.76,4680.05,1.4,8.07,13.26,37.86,102.99,3518.57,1.24,7.15,11.75,34.35,90.48,3274.76,1783042483.48,258822708.09,794728725.84,729491049.55
90,FB_0090_FCCS.xml,22.69,2.56,0.96,0.01,8.18,3.49,7.48,12.61,2.28,0.86,0.01,5.57,3.14,0.75,7.55,0.21,0.1,0.0,1.65,0.35,5.24,2.53,0.07,0.96,0.0,1.5,247.69,4692.79,71626.79,201.41,664.11,434.28,386.4,54.24,1116.36,42779.28,63.75,288.8,178.2,155.28,145.92,2706.76,21578.88,103.96,283.02,193.04,174.29,47.54,869.67,7268.63,33.69,92.29,63.04,56.83,1.44,0.75,0.19,0.0,0.02,0.0,0.09,0.07,0.0,0.96,0.0,0.01,0.0,1.59,0.85,1.19,1.07,2.0,0.44,0.96,0.0,0.0,0.0,0.0,0.1,0.0,3.49,0.0,0.0,7.48,0.0,0.0,0.0,15.59,5.67,0.05,70.38,20.67,135.31,313.6,114.39,1.11,1312.6,416.95,2534.14,8529.34,3195.25,30.93,26484.67,11646.62,21739.99,15.82,5.82,0.06,60.28,21.23,98.19,63.19,23.47,0.23,218.5,85.55,273.17,39.25,14.55,0.14,142.36,53.04,184.93,34.44,12.76,0.12,125.82,46.51,166.75,363011766.25,201756430.33,120782696.42,40472639.49
91,FB_0091_FCCS.xml,37.53,1.98,1.44,0.05,2.26,1.67,30.13,8.09,1.37,1.3,0.04,1.64,1.57,2.17,17.8,0.35,0.14,0.0,0.38,0.09,16.83,11.64,0.27,0.24,0.0,11.13,453.94,9099.0,114985.07,311.6,1581.92,1172.89,1087.13,24.3,716.06,27516.38,29.12,152.42,93.46,81.28,259.82,5069.83,52890.83,170.83,864.53,652.82,608.33,169.83,3313.11,34577.86,111.65,564.97,426.61,397.52,1.21,0.0,0.01,0.0,0.04,0.0,0.28,0.37,0.08,0.73,0.72,0.03,0.02,0.15,0.17,0.34,0.86,0.49,0.19,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.22,0.02,1.43,21.6,8.48,0.0,0.05,13.1,6.0,0.19,13.76,6.1,414.79,297.38,156.73,5.04,310.11,166.96,8162.79,6478.18,4846.09,155.71,7423.71,5633.33,90448.05,10.84,6.06,0.19,11.67,6.57,276.26,55.66,31.43,1.01,59.83,34.17,1399.81,38.35,20.23,0.65,40.88,21.56,1051.22,34.76,17.92,0.58,36.85,18.96,978.06,600459907.88,129436386.46,284823012.83,186200508.59
