GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=10/29/2012
fuelbed_number,site_name,site_description,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,Total_aboveground_fuel_loading,efg_natural,efg_activity
22.000000,,,125,240.000000,4.125567,0.000000,0.000000,0.002948,0.000000,0.136373,0.088951,0.088951,0.001096,0.000000,99.000000,0.000000,0.200000,0.000000,70.000000,0.000000,0.400000,2.200000,2.800000,8.300000,0.700000,0.500000,0.800000,0.500000,0.500000,0.005635,0.018378,0.000000,0.500000,0.744750,0.100000,0.000500,0.200000,0.006000,0.000000,0.000000,0.040000,1.000000,9.000000,1.000000,4.000000,45.023243,8,3
23.000000,,,125,240.000000,3.780573,0.000000,0.005021,1.136673,0.000000,38.301971,24.983027,3.632168,0.945794,0.000000,75.000000,0.000000,0.170000,0.000000,70.000000,0.000000,0.200000,1.100000,1.600000,9.700001,8.700001,1.000000,3.300000,2.300000,1.000000,0.005635,0.003676,0.000000,0.500000,0.741250,0.100000,0.000500,0.200000,0.015000,0.005364,0.000000,0.040000,0.500000,4.500000,0.500000,2.000000,136.667801,8,3
24.000000,,,151,240.000000,3.679948,1.868724,0.172498,0.018642,0.000000,3.054327,0.723646,1.148645,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,75.000000,0.000000,0.100000,0.200000,0.750000,2.000000,0.800000,0.000000,1.800000,0.200000,0.500000,0.032140,0.459454,1.250737,0.700000,1.779750,0.000000,0.000000,0.200000,0.004500,0.005719,0.000000,3.000000,0.100000,1.760000,0.500000,3.200000,140.432373,8,3
25.000000,,,146,340.000000,6.784331,1.536307,1.372506,0.014914,0.000000,5.126131,16.413973,0.000000,0.617751,0.000000,80.000000,0.000000,0.040000,0.010000,60.000000,60.000000,0.300000,0.500000,1.200000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.474400,0.000000,0.000000,0.000000,0.000000,0.026005,0.000000,3.000000,0.700000,5.040000,0.400000,1.280000,67.389572,5,5
26.000000,,,144,340.000000,0.782349,4.614311,0.205272,0.000000,0.000000,0.000000,0.303295,3.464819,3.327381,0.087491,85.000000,90.000000,0.070000,0.010000,95.000000,85.000000,0.000000,0.100000,0.400000,0.300000,2.900000,9.400001,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,1.800000,0.000000,0.000000,0.000000,0.000000,0.002158,0.000000,0.500000,0.200000,2.700000,0.300000,1.800000,79.734833,8,3
27.000000,,,144,340.000000,1.552478,1.783325,0.166862,0.007077,0.000000,1.889444,0.772145,0.617716,0.473233,0.000000,85.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.200000,0.300000,1.000000,2.000000,0.000000,0.000000,1.000000,2.000000,6.000000,0.000000,0.059014,0.000000,0.500000,0.590000,0.000000,0.000000,0.000000,0.000000,0.000210,0.000000,3.000000,0.100000,0.540000,0.200000,0.480000,73.831238,8,3
28.000000,,,10,310.000000,0.754677,1.078110,0.000000,0.000000,0.000000,0.000000,7.351327,0.000000,0.229341,0.000000,90.000000,0.000000,0.800000,0.000000,90.000000,0.000000,0.050000,0.100000,0.200000,0.300000,0.500000,0.000000,0.500000,1.000000,2.000000,0.175928,0.000000,0.000000,0.500000,1.192500,0.000000,0.000000,0.000000,0.000000,0.000478,0.000000,0.000000,0.200000,2.520000,0.200000,1.120000,46.941757,8,8
29.000000,,,113,310.000000,10.349855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.744322,3.327381,0.087491,85.000000,95.000000,0.100000,0.100000,95.000000,85.000000,1.000000,1.500000,2.000000,6.000000,12.000001,0.000000,5.000000,11.000001,0.000000,0.309256,0.216421,0.000000,0.200000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,12.600000,0.400000,2.240000,61.562920,8,4
30.000000,,,221,310.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.346334,0.000000,100.000000,0.000000,0.100000,0.000000,80.000000,0.000000,0.100000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.755000,0.000000,0.000000,0.500000,0.007500,0.000000,0.000000,0.000000,0.100000,0.450000,0.100000,0.200000,6.258835,7,7
32.000000,,,144,310.000000,0.431244,5.692420,2.046286,0.000000,0.000000,0.000000,0.711608,0.000000,0.034588,0.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.900000,1.300000,1.400000,0.000000,0.000000,0.400000,0.500000,5.900000,0.000000,0.000000,0.000000,0.800000,0.960000,0.000000,0.000000,0.000000,0.000000,0.000571,0.000000,3.000000,0.200000,1.260000,0.400000,1.280000,70.769760,8,3
