GeneratorName=FCCS 4.0,GeneratorVersion=3.0.0,DateCreated=04/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuelbed_number,FCCSID,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
3120432,312_432,FB_0312_LF_432.xml,209,340,0.09801,0.55539,6.17463,0,0,0,0,0,1.177194,0.054682,67.5,73.5,0.15,0.015,80,80,0.45,0.75,2.25,2.25,4.875,0,0.75,1.625,0,0,0,0,1.2,3.720001,0,0,0,0,0,0,0,0,0,0.6,4.8,0,0,0,24.568312,7,7
3120433,312_433,FB_0312_LF_433.xml,209,340,0.09801,0.55539,6.17463,0,0,0,0,0,1.765791,0.082023,67.5,73.5,0.15,0.015,80,80,0.1125,0.1875,0.5625,1.125,2.4375,0,1.875,4.0625,0,0,0,0,0.9,2.0925,0,0,0,0,0,0,0,0,0,0.6,4.8,0,0,0,20.96925,7,7
3120511,312_511,FB_0312_LF_511.xml,209,340,0.346955,1.964121,6.17463,0.88209,0,1.402712,0,0,1.569592,0.072909,90,98,0.1,0.01,80,80,0.2,0.2,1,0.5,0,0,0,0,0,0,0,0,0.6,0.93,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,10.812952,7,7
3120512,312_512,FB_0312_LF_512.xml,209,340,0.326535,1.847479,6.17463,1.27903,0,2.033933,0,0,1.569592,0.072909,90,98,0.1,0.01,80,80,0.22,0.22,1.1,0.5,0,0,0,0,0,0,0,0,0.66,1.1253,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,11.143995,7,7
3120513,312_513,FB_0312_LF_513.xml,209,340,0.326535,1.847479,6.17463,0,0,0,0,0,1.569592,0.072909,90,98,0.1,0.01,80,80,0.242,0.242,1.21,0.375,0,0,0.125,0,0,0,0,0,0.59994,0.929814,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,10.470783,7,7
3120521,312_521,FB_0312_LF_521.xml,209,340,0.227383,1.285891,6.17463,3.52836,0,5.610849,0,0,1.569592,0.072909,90,98,0.1,0.01,80,80,0.2,0.2,1,0.5,0,0,0,0,0,0,0,0,0.6,0.93,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,10.784582,7,7
3120522,312_522,FB_0312_LF_522.xml,209,340,0.204645,1.157302,6.17463,4.057614,0,6.452476,0,0,1.569592,0.072909,90,98,0.125,0.0125,80,80,1,2,3,0.5,0,0,0,0,0,0,0,0,0.9,2.0925,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,16.568909,7,7
3120523,312_523,FB_0312_LF_523.xml,209,340,0.204645,1.157302,6.17463,0,0,0,0,0,1.569592,0.072909,90,98,0.125,0.0125,80,80,1.25,2.5,3.75,4,4,4,0.125,0,0,0,0,0,0.6003,0.93093,0,0,0,0,0,0,0,0,0,0.33,1.452,0,0,0,26.780243,7,7
3120531,312_531,FB_0312_LF_531.xml,209,340,0.09311,0.525987,6.17463,6.615675,0,10.520342,0,0,1.569592,0.072909,90,98,0.1,0.01,80,80,0.2,0.2,1,0.5,0,0,0,0,0,0,0,0,0.6,0.93,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,10.751485,7,7
3120532,312_532,FB_0312_LF_532.xml,209,340,0.083799,0.473388,6.17463,6.836197,0,10.87102,0,0,1.96199,0.091136,90,98,0.14,0.014,80,80,1,2,3,0.5,0,0,0,0,0,0,0,0,1.2,3.720001,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,18.593746,7,7
3120533,312_533,FB_0312_LF_533.xml,209,340,0.083799,0.473388,6.17463,0,0,0,0,0,1.96199,0.091136,90,98,0.14,0.014,80,80,1.5,3,4.5,4,4,4,0.125,0,0,0,0,0,0.6,0.93,0,0,0,0,0,0,0,0,0,0.39,2.028,0,0,0,27.88028,7,7
3130111,313_111,FB_0313_LF_111.xml,209,340,0.018622,0.327353,0.823284,0.049005,0,2.135145,0,0,0.249207,0,45,0,0.05,0,40,0,0.1,0.1,0.5,0.45,0,0,0,0,0,0,0,0,0.375,0.435938,0,0,0,0,0,0,0,0,0,0.225,0.675,0,0,0,11.366078,7,7
3130112,313_112,FB_0313_LF_112.xml,209,340,0.018622,0.327353,0.823284,0,0,0,0,0,0.345217,0,56.25,0,0.1,0,80,0,0.125,0.125,0.625,0.3375,0,0,0.1125,0,0,0,0,0,0.499875,0.774613,0,0,0,0,0,0,0,0,0,0.225,0.675,0,0,0,11.244148,7,7
3130113,313_113,FB_0313_LF_113.xml,209,340,0.018622,0.327353,0.823284,0,0,0,0,0,0.714144,0,90,0,0.1,0,80,0,0.2,0.2,1,0.16875,0,0,0.28125,0,0,0,0,0,0.499875,0.774613,0,0,0,0,0,0,0,0,0,0.225,0.675,0,0,0,12.138076,7,7
3130121,313_121,FB_0313_LF_121.xml,209,340,0.011761,0.214315,0.399881,0.19602,0,8.540579,0,0,0.097637,0,22.5,0,0.025,0,20,0,0.05,0.05,0.25,0.375,0,0,0,0,0,0,0,0,0.125,0.048438,0,0,0,0,0,0,0,0,0,0.075,0.075,0,0,0,9.368601,7,7
3130122,313_122,FB_0313_LF_122.xml,209,340,0.010585,0.192884,0.359893,0.225423,9.821665,9.821665,0,0,0.249207,0,90,0,0.1,0,80,0,0.0625,0.0625,0.3125,0.28125,0,0,0.09375,0,0,0,0,0,0.25,0.19375,0,0,0,0,0,0,0,0,0,0.075,0.075,0,0,0,9.769848,7,7
3130123,313_123,FB_0313_LF_123.xml,209,340,0.010585,0.192884,0.359893,0,0,0,0,0,0.714144,0,90,0,0.1,0,80,0,0.066,0.066,0.33,0.140625,0,0,0.234375,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.075,0.075,0,0,0,7.245103,7,7
3130131,313_131,FB_0313_LF_131.xml,209,340,0.004084,0.084397,0.047535,0.367538,0,16.013582,0,0,0.015213,0,4.5,0,0.005,0,4,0,0.01,0.01,0.05,0.25,0,0,0,0,0,0,0,0,0.025,0.001937,0,0,0,0,0,0,0,0,0,0.015,0.003,0,0,0,8.334872,7,7
3130132,313_132,FB_0313_LF_132.xml,209,340,0.003675,0.075958,0.042781,0.379789,16.547369,16.547369,0,0,0.249207,0,90,0,0.1,0,80,0,0.015,0.015,0.075,0.1875,0,0,0.0625,0,0,0,0,0,0.25,0.19375,0,0,0,0,0,0,0,0,0,0.015,0.003,0,0,0,8.873324,7,7
3130133,313_133,FB_0313_LF_133.xml,209,340,0.003675,0.075958,0.042781,0,0,0,0,0,0.714144,0,90,0,0.1,0,80,0,0.066,0.066,0.33,0.09375,0,0,0.15625,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.015,0.003,0,0,0,4.218989,7,7
3130211,313_211,FB_0313_LF_211.xml,209,340,0.014293,0.265444,0.257276,0,0,0,0,0,0.535608,0,45,0,0.075,0,60,0,0.5,1,1.25,0.5,0,0,0,0,0,0,0,0,0.625,1.210938,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.650293,7,7
3130212,313_212,FB_0313_LF_212.xml,209,340,0.014293,0.265444,0.257276,0,0,0,0,0,0.589169,0,90,0,0.09375,0,79.980003,0,0.375,0.75,0.9375,0.375,0,0,0.125,0,0,0,0,0,0.625,1.210938,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.035104,7,7
3130213,313_213,FB_0313_LF_213.xml,209,340,0.014293,0.265444,0.257276,0,0,0,0,0,0.648086,0,90,0,0.117188,0,79.980003,0,0.1875,0.375,0.46875,0.375,0,0,0.3125,0,0,0,0,0,0.625,1.210938,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,12.273708,7,7
3130221,313_221,FB_0313_LF_221.xml,209,340,0.008167,0.168795,0,0,0,0,0,0,0.357072,0,22.5,0,0.05,0,40,0,1,2,1.5,0.5,0,0,0,0,0,0,0,0,0.75,1.74375,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,14.171302,7,7
3130222,313_222,FB_0313_LF_222.xml,209,340,0.008167,0.168795,0,0,0,0,0,0,0.44634,0,90,0,0.075,0,80,0,0.75,1.5,1.125,0.375,0,0,0.125,0,0,0,0,0,0.75,1.74375,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.160569,7,7
3130223,313_223,FB_0313_LF_223.xml,209,340,0.008167,0.168795,0,0,0,0,0,0,0.557925,0,90,0,0.1125,0,80,0,0.375,0.75,0.5625,0.375,0,0,0.3125,0,0,0,0,0,0.75,1.74375,0,0,0,0,0,0,0,0,0,0.36,1.728,0,0,0,12.337655,7,7
3130231,313_231,FB_0313_LF_231.xml,209,340,0.004084,0.084397,0,0,0,0,0,0,0.178536,0,22.5,0,0.025,0,20,0,1.5,3,2,0.5,0,0,0,0,0,0,0,0,0.875,2.373438,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.687214,7,7
3130232,313_232,FB_0313_LF_232.xml,209,340,0.004084,0.084397,0,0,0,0,0,0,0.267804,0,90,0,0.0375,0,80,0,1.125,2.25,1.5,0.375,0,0,0.125,0,0,0,0,0,0.875,2.373438,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,12.163981,7,7
3130233,313_233,FB_0313_LF_233.xml,209,340,0.004084,0.084397,0,0,0,0,0,0,0.401706,0,90,0,0.05625,0,80,0,0.5625,1.125,0.75,0.375,0,0,0.3125,0,0,0,0,0,0.875,2.373438,0,0,0,0,0,0,0,0,0,0.42,2.352,0,0,0,11.218634,7,7
3130311,313_311,FB_0313_LF_311.xml,209,340,0.014293,0.265444,0.257276,0,0,0,0,0,0.535608,0,45,0,0.075,0,60,0,0.15,0.15,0.75,0.45,0,0,0,0,0,0,0,0,0.375,0.435938,0,0,0,0,0,0,0,0,0,0.225,0.675,0,0,0,10.600293,7,7
3130312,313_312,FB_0313_LF_312.xml,209,340,0.014293,0.265444,0.257276,0,0,0,0,0,0.66951,0,90,0,0.1125,0,79.980003,0,0.15,0.15,0.75,0.3375,0,0,0.1125,0,0,0,0,0,0.499875,0.774613,0,0,0,0,0,0,0,0,0,0.225,0.675,0,0,0,11.110371,7,7
3130313,313_313,FB_0313_LF_313.xml,209,340,0.014293,0.265444,0.257276,0,0,0,0,0,0.714368,0,90,0,0.100013,0,79.980003,0,0.19995,0.19995,0.99975,0.16875,0,0,0.28125,0,0,0,0,0,0.499875,0.774613,0,0,0,0,0,0,0,0,0,0.225,0.675,0,0,0,11.492391,7,7
3130321,313_321,FB_0313_LF_321.xml,209,340,0.008167,0.168795,0,0,0,0,0,0,0.357072,0,22.5,0,0.05,0,40,0,0.1,0.1,0.5,0.4,0,0,0,0,0,0,0,0,0.25,0.19375,0,0,0,0,0,0,0,0,0,0.15,0.3,0,0,0,7.821301,7,7
3130322,313_322,FB_0313_LF_322.xml,209,340,0.008167,0.168795,0,0,0,0,0,0,0.535608,0,90,0,0.075,0,80,0,0.1,0.1,0.5,0.3,0,0,0.1,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.15,0.3,0,0,0,8.606088,7,7
3130323,313_323,FB_0313_LF_323.xml,209,340,0.008167,0.168795,0,0,0,0,0,0,0.713966,0,90,0,0.099975,0,80,0,0.066,0.066,0.33,0.15,0,0,0.25,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.15,0.3,0,0,0,8.571421,7,7
3130331,313_331,FB_0313_LF_331.xml,209,340,0.004084,0.084397,0,0,0,0,0,0,0.178536,0,9,0,0.025,0,20,0,0.05,0.05,0.25,0.275,0,0,0,0,0,0,0,0,0.125,0.048438,0,0,0,0,0,0,0,0,0,0.075,0.075,0,0,0,3.862213,7,7
3130332,313_332,FB_0313_LF_332.xml,209,340,0.004084,0.084397,0,0,0,0,0,0,0.267804,0,90,0,0.0375,0,80,0,0.05,0.05,0.25,0.20625,0,0,0.06875,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.075,0.075,0,0,0,4.690544,7,7
3130333,313_333,FB_0313_LF_333.xml,209,340,0.004084,0.084397,0,0,0,0,0,0,0.714234,0,90,0,0.100013,0,80,0,0.066,0.066,0.33,0.103125,0,0,0.171875,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.075,0.075,0,0,0,5.311486,7,7
3130411,313_411,FB_0313_LF_411.xml,209,340,0.018513,0.314721,1.029105,0,0,0,0,0,0.64273,0,81,0,0.1,0,80,0,0.3,0.3,1.5,1,0,0,0,0,0,0,0,0,0.625,1.210938,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.976075,7,7
3130412,313_412,FB_0313_LF_412.xml,209,340,0.018513,0.314721,1.029105,0,0,0,0,0,0.707003,0,89.099998,0,0.11,0,80,0,0.225,0.225,1.125,0.75,0,0,0.25,0,0,0,0,0,0.625,1.210938,0,0,0,0,0,0,0,0,0,0.375,1.875,0,0,0,14.200347,7,7
3130413,313_413,FB_0313_LF_413.xml,209,340,0.018513,0.314721,1.029105,0,0,0,0,0,0.714073,0,89.990997,0,0.11,0,80,0,0.05625,0.05625,0.28125,0.375,0,0,0.625,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.375,1.875,0,0,0,12.59023,7,7
3130421,313_421,FB_0313_LF_421.xml,209,340,0.011979,0.203643,1.029105,0,0,0,0,0,0.499901,0,63,0,0.1,0,80,0,0.4,1,2,3,6.5,0,0,0,0,0,0,0,0.75,1.74375,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,21.648247,7,7
3130422,313_422,FB_0313_LF_422.xml,209,340,0.011979,0.203643,1.029105,0,0,0,0,0,0.649871,0,81.900002,0,0.12,0,80,0,0.3,0.75,1.5,2.25,4.875,0,0.75,1.625,0,0,0,0,0.75,1.74375,0,0,0,0,0,0,0,0,0,0.45,2.7,0,0,0,22.468218,7,7
3130423,313_423,FB_0313_LF_423.xml,209,340,0.011979,0.203643,1.029105,0,0,0,0,0,0.844833,0,81.900002,0,0.12,0,80,0,0.075,0.1875,0.375,1.125,2.4375,0,1.875,4.0625,0,0,0,0,0.5625,0.980859,0,0,0,0,0,0,0,0,0,0.45,2.7,0,0,0,19.987787,7,7
3130431,313_431,FB_0313_LF_431.xml,209,340,0.005445,0.092565,1.029105,0,0,0,0,0,0.357072,0,45,0,0.1,0,80,0,0.6,1,3,3,6.5,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,21.543858,7,7
3130432,313_432,FB_0313_LF_432.xml,209,340,0.005445,0.092565,1.029105,0,0,0,0,0,0.535608,0,67.5,0,0.15,0,80,0,0.45,0.75,2.25,2.25,4.875,0,0.75,1.625,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0.6,4.8,0,0,0,24.222395,7,7
3130433,313_433,FB_0313_LF_433.xml,209,340,0.005445,0.092565,1.029105,0,0,0,0,0,0.803412,0,67.5,0,0.15,0,80,0,0.1125,0.1875,0.5625,1.125,2.4375,0,1.875,4.0625,0,0,0,0,0.75,1.74375,0,0,0,0,0,0,0,0,0,0.6,4.8,0,0,0,20.546448,7,7
3130511,313_511,FB_0313_LF_511.xml,209,340,0.018622,0.327353,1.029105,0.049005,0,2.135145,0,0,0.714144,0,90,0,0.1,0,80,0,0.2,0.2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.612802,7,7
3130512,313_512,FB_0313_LF_512.xml,209,340,0.017179,0.307913,1.029105,0.071057,0,3.09596,0,0,0.714144,0,90,0,0.1,0,80,0,0.22,0.22,1.1,0.5,0,0,0,0,0,0,0,0,0.55,0.93775,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.889607,7,7
3130513,313_513,FB_0313_LF_513.xml,209,340,0.017179,0.307913,1.029105,0,0,0,0,0,0.714144,0,90,0,0.1,0,80,0,0.242,0.242,1.21,0.375,0,0,0.125,0,0,0,0,0,0.49995,0.774845,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,12.747359,7,7
3130521,313_521,FB_0313_LF_521.xml,209,340,0.011761,0.214315,1.029105,0.19602,0,8.540579,0,0,0.714144,0,90,0,0.1,0,80,0,0.2,0.2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.439837,7,7
3130522,313_522,FB_0313_LF_522.xml,209,340,0.010585,0.192884,1.029105,0.225423,0,9.821665,0,0,0.714144,0,90,0,0.125,0,80,0,1,2,3,0.5,0,0,0,0,0,0,0,0,0.75,1.74375,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,18.998997,7,7
3130523,313_523,FB_0313_LF_523.xml,209,340,0.010585,0.192884,1.029105,0,0,0,0,0,0.714144,0,90,0,0.125,0,80,0,1.25,2.5,3.75,4,4,4,0.125,0,0,0,0,0,0.50025,0.775775,0,0,0,0,0,0,0,0,0,0.33,1.452,0,0,0,27.81259,7,7
3130531,313_531,FB_0313_LF_531.xml,209,340,0.004628,0.087664,1.029105,0.367538,0,16.013582,0,0,0.714144,0,90,0,0.1,0,80,0,0.2,0.2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,13.238047,7,7
3130532,313_532,FB_0313_LF_532.xml,209,340,0.004165,0.078898,1.029105,0.379789,0,16.547369,0,0,0.89268,0,90,0,0.14,0,80,0,1,2,3,0.5,0,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0.3,1.2,0,0,0,20.36717,7,7
3130533,313_533,FB_0313_LF_533.xml,209,340,0.004165,0.078898,1.029105,0,0,0,0,0,0.89268,0,90,0,0.14,0,80,0,1.5,3,4.5,4,4,4,0.125,0,0,0,0,0,0.5,0.775,0,0,0,0,0,0,0,0,0,0.39,2.028,0,0,0,27.437651,7,7
3140111,314_111,FB_0314_LF_111.xml,116,240,4.482781,0,1.931973,0.364865,0,41.312061,20.768732,3.338148,0.455798,0,44.5,0,0.1,0,30,0,0.05,0.2,0.85,3.96,12.240001,0,0.9,0.45,0,0,0,0,0.6,0.78435,0,0,0.375,0.004219,0,0,0.5,0,0,0.15,0.63,0,0,0,74.913757,8,3
3140112,314_112,FB_0314_LF_112.xml,116,240,4.482781,0,1.931973,0,0,0,29.748011,17.103661,0.569747,0,55.625,0,0.2,0,60,0,0.0625,0.25,1.0625,2.97,9.18,0,1.89,3.51,0,0,0,0,0.7998,1.393703,0,0,0.375,0.004219,0,0,0.5,0,0,0.15,0.63,0,0,0,87.543785,8,3
3140113,314_113,FB_0314_LF_113.xml,116,240,4.482781,0,1.931973,0,0,0,0,24.49836,0.911595,0,89,0,0.2,0,60,0,0.1,0.4,1.7,1.485,4.59,0,3.375,8.100001,0,0,0,0,0.7998,1.393703,0,0,0.499875,0.007496,0,0,0.5,0,0,0.15,0.63,0,0,0,66.360603,8,3
3140121,314_121,FB_0314_LF_121.xml,116,240,2.958334,0,0.945287,1.089062,0,50.845612,20.768732,3.338148,0.227899,0,22.25,0,0.05,0,15,0,0.025,0.1,0.425,3.3,10.200001,0,0.75,0.375,0,0,0,0,0.2,0.08715,0,0,0.125,0.000469,0,0,0.5,0,0,0.05,0.07,0,0,0,64.508507,8,3
3140122,314_122,FB_0314_LF_122.xml,116,240,2.6625,0,0.850758,1.233901,52.752323,52.752323,36.612934,17.103661,0.455798,0,89,0,0.2,0,60,0,0.03125,0.125,0.53125,2.475,7.650001,0,1.575,2.925,0,0,0,0,0.4,0.3486,0,0,0.25,0.001875,0,0,0.5,0,0,0.05,0.07,0,0,0,94.36496,8,3
3140123,314_123,FB_0314_LF_123.xml,116,240,2.6625,0,0.850758,0,0,0,0,30.151825,0.911595,0,89,0,0.2,0,60,0,0.033,0.132,0.561,1.2375,3.825,0,2.8125,6.75,0,0,0,0,0.8,1.3944,0,0,0.5,0.0075,0,0,0.5,0,0,0.05,0.07,0,0,0,58.027695,8,3
3140131,314_131,FB_0314_LF_131.xml,116,240,1.194905,0,0.113848,1.933957,0,61.96809,20.768732,3.338148,0.04558,0,4.45,0,0.01,0,3,0,0.005,0.02,0.085,2.2,6.8,0,0.5,0.25,0,0,0,0,0.04,0.003486,0,0,0.025,1.9E-05,0,0,0.5,0,0,0.01,0.0028,0,0,0,54.124634,8,3
3140132,314_132,FB_0314_LF_132.xml,116,240,1.075415,0,0.102464,1.994306,62.762554,62.762554,44.622017,17.103661,0.455798,0,89,0,0.2,0,60,0,0.0075,0.03,0.1275,1.65,5.1,0,1.05,1.95,0,0,0,0,0.4,0.3486,0,0,0.25,0.001875,0,0,0.5,0,0,0.01,0.0028,0,0,0,92.683624,8,3
3140133,314_133,FB_0314_LF_133.xml,116,240,1.075415,0,0.102464,0,0,0,0,36.74754,0.911595,0,89,0,0.2,0,60,0,0.033,0.132,0.561,0.825,2.55,0,1.875,4.5,0,0,0,0,0.8,1.3944,0,0,0.5,0.0075,0,0,0.5,0,0,0.01,0.0028,0,0,0,52.738491,8,3
3140211,314_211,FB_0314_LF_211.xml,116,240,3.67905,0,0.603742,0.123466,0,17.317125,20.768732,3.338148,0.683697,0,44.5,0,0.15,0,45,0,0.5,1,2.125,4.4,13.6,0,1,0.5,0,0,0,0,1,2.17875,0,0,0.5,0.0075,0,0,0.5,0,0,0.2,1.12,0,0,0,68.080086,8,3
3140212,314_212,FB_0314_LF_212.xml,116,240,3.67905,0,0.603742,0.123466,0,17.317125,20.768732,3.338148,0.752066,0,89,0,0.1875,0,59.985001,0,0.375,0.75,1.59375,3.3,10.200001,0,2.1,3.9,0,0,0,0,1,2.17875,0,0,0.5,0.0075,0,0,0.5,0,0,0.2,1.12,0,0,0,67.279709,8,3
3140213,314_213,FB_0314_LF_213.xml,116,240,3.67905,0,0.603742,0.123466,0,17.317125,20.768732,3.338148,0.827273,0,89,0,0.234375,0,59.985001,0,0.1875,0.375,0.796875,3.3,10.200001,0,3.75,9,0,0,0,0,1,2.17875,0,0,0.5,0.0075,0,0,0.5,0,0,0.2,1.12,0,0,0,72.792419,8,3
3140221,314_221,FB_0314_LF_221.xml,116,240,2.38981,0,0,0.123466,0,17.317125,20.768732,3.338148,0.455798,0,22.25,0,0.1,0,30,0,1,2,2.55,4.4,13.6,0,1,0.5,0,0,0,0,1.2,3.1374,0,0,0.5,0.0075,0,0,0.5,0,0,0.2,1.12,0,0,0,66.47522,8,3
3140222,314_222,FB_0314_LF_222.xml,116,240,2.38981,0,0,0.123466,0,17.317125,20.768732,3.338148,0.569747,0,89,0,0.15,0,60,0,0.75,1.5,1.9125,3.3,10.200001,0,2.1,3.9,0,0,0,0,1.2,3.1374,0,0,0.5,0.0075,0,0,0.5,0,0,0.2,1.12,0,0,0,65.251671,8,3
3140223,314_223,FB_0314_LF_223.xml,116,240,2.38981,0,0,0.123466,0,17.317125,20.768732,3.338148,0.712184,0,89,0,0.225,0,60,0,0.375,0.75,0.95625,3.3,10.200001,0,3.75,9,0,0,0,0,1.2,3.1374,0,0,0.5,0.0075,0,0,0.5,0,0,0.24,1.6128,0,0,0,70.630653,8,3
3140231,314_231,FB_0314_LF_231.xml,116,240,1.194905,0,0,0.123466,0,17.317125,20.768732,3.338148,0.227899,0,22.25,0,0.05,0,15,0,1.5,3,3.4,4.4,13.6,0,1,0.5,0,0,0,0,1.4,4.067,0,0,0.5,0.0075,0,0,0.5,0,0,0.2,1.12,0,0,0,65.954849,8,3
3140232,314_232,FB_0314_LF_232.xml,116,240,1.194905,0,0,0.123466,0,17.317125,20.768732,3.338148,0.341848,0,89,0,0.075,0,60,0,1.125,2.25,2.55,3.3,10.200001,0,2.1,3.9,0,0,0,0,1.4,4.067,0,0,0.5,0.0075,0,0,0.5,0,0,0.2,1.12,0,0,0,64.118797,8,3
3140233,314_233,FB_0314_LF_233.xml,116,240,1.194905,0,0,0.123466,0,17.317125,20.768732,3.338148,0.512772,0,89,0,0.1125,0,60,0,0.5625,1.125,1.275,3.3,10.200001,0,3.75,9,0,0,0,0,1.4,4.067,0,0,0.5,0.0075,0,0,0.5,0,0,0.28,2.1952,0,0,0,69.189926,8,3
3140311,314_311,FB_0314_LF_311.xml,116,240,3.67905,0,0.603742,0.123466,0,17.317125,20.768732,3.338148,0.683697,0,44.5,0,0.15,0,45,0,0.075,0.3,1.275,3.96,12.240001,0,0.9,0.45,0,0,0,0,0.6,0.78435,0,0,0.375,0.004219,0,0,0.5,0,0,0.15,0.63,0,0,0,62.26741,8,3
3140312,314_312,FB_0314_LF_312.xml,116,240,3.67905,0,0.603742,0.123466,0,17.317125,20.768732,3.338148,0.854621,0,89,0,0.225,0,59.985001,0,0.075,0.3,1.275,2.97,9.18,0,1.89,3.51,0,0,0,0,0.7998,1.393703,0,0,0.375,0.004219,0,0,0.5,0,0,0.15,0.63,0,0,0,63.122688,8,3
3140313,314_313,FB_0314_LF_313.xml,116,240,3.67905,0,0.603742,0.123466,0,17.317125,20.768732,3.338148,0.91188,0,89,0,0.200025,0,59.985001,0,0.099975,0.3999,1.699575,1.485,4.59,0,3.375,8.100001,0,0,0,0,0.7998,1.393703,0,0,0.499875,0.007496,0,0,0.5,0,0,0.15,0.63,0,0,0,63.707695,8,3
3140321,314_321,FB_0314_LF_321.xml,116,240,2.38981,0,0,0.123466,0,17.317125,20.768732,3.338148,0.455798,0,22.25,0,0.1,0,30,0,0.05,0.2,0.85,3.52,10.88,0,0.8,0.4,0,0,0,0,0.4,0.3486,0,0,0.25,0.001875,0,0,0.5,0,0,0.1,0.28,0,0,0,54.490799,8,3
3140322,314_322,FB_0314_LF_322.xml,116,240,2.38981,0,0,0.123466,0,17.317125,20.768732,3.338148,0.683697,0,89,0,0.15,0,60,0,0.05,0.2,0.85,2.64,8.160001,0,1.68,3.12,0,0,0,0,0.8,1.3944,0,0,0.25,0.001875,0,0,0.5,0,0,0.1,0.28,0,0,0,55.814495,8,3
3140323,314_323,FB_0314_LF_323.xml,116,240,2.38981,0,0,0.123466,0,17.317125,20.768732,3.338148,0.911368,0,89,0,0.19995,0,60,0,0.033,0.132,0.561,1.32,4.08,0,3,7.2,0,0,0,0,0.8,1.3944,0,0,0.5,0.0075,0,0,0.5,0,0,0.1,0.28,0,0,0,55.72374,8,3
3140331,314_331,FB_0314_LF_331.xml,116,240,1.194905,0,0,0.123466,0,17.317125,20.768732,3.338148,0.227899,0,8.9,0,0.05,0,15,0,0.025,0.1,0.425,2.42,7.48,0,0.55,0.275,0,0,0,0,0.2,0.08715,0,0,0.125,0.000469,0,0,0.5,0,0,0.05,0.07,0,0,0,44.792969,8,3
