GeneratorName=FCCS 4.0,GeneratorVersion=3.0.0,DateCreated=04/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuelbed_number,FCCSID,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
25,25,FB_0025_FCCS.xml,146,340,6.784331,1.536307,1.372506,0.014914,0,0.871597,3.928754,0,0.617751,0,80,0,0.04,0.01,60,60,0.3,0.5,1.2,1,1,0,0,0,0,0,0,0,0.4,0.4744,0,0,0,0,0.026005,0,3,0,0,1.1,3.52,0,0,0,23.290174,5,5
26,26,FB_0026_FCCS.xml,144,340,0.782349,4.614311,0.205272,0,0,0,0.107952,1.047855,3.327381,0.087491,85,90,0.07,0.01,95,85,0,0.1,0.4,0.3,2.9,9.400001,0.4,0,0,0,0,0,0.8,1.8,0,0,0,0,0.002158,0,0.5,0,0,0.5,3,0,0,0,35.502068,8,3
27,27,FB_0027_FCCS.xml,144,340,1.552478,1.783325,0.166862,0.007077,0,1.106516,0.795331,0.654979,0.473233,0,85,0,0.5,0,90,0,0.2,0.3,1,2,0,0,1,2,6,0,0.059014,0,0.5,0.59,0,0,0,0,0.00021,0,3,0,0,0.3,0.72,0.007819,0,0,33.808544,8,3
28,28,FB_0028_FCCS.xml,10,310,0.754677,1.07811,0,0,0,0,5.504771,0,0.229341,0,90,0,0.8,0,90,0,0.05,0.1,0.2,0.3,0.5,0,0.5,1,2,0.175928,0,0,0.5,1.1925,0,0,0,0,0.000478,0,0,0,0,0.4,2.24,0,0,0,22.255581,8,8
29,29,FB_0029_FCCS.xml,113,310,10.349855,0,0,0,0,0,0,0.273357,3.327381,0.087491,85,95,0.1,0.1,95,85,1,1.5,2,6,12.000001,0,5,11.000001,0,0.309256,0.216421,0,0.2,0.42,0,0,0,0,0,0,0,0,0,0.5,2.8,0.078119,0,0,46.595287,8,4
30,30,FB_0030_FCCS.xml,221,310,0,0,0,0,0,0,0,0,4.440228,0,100,0,0.1,0,80,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.5,0.755,0,0,0.5,0.0075,0,0,0,0,0,0.1,0.2,0,0,0,5.902728,7,7
32,32,FB_0032_FCCS.xml,144,310,0.431244,5.69242,2.046286,0,0,0,0.250642,0,0.034588,0,80,0,0,0,0,0,0.1,0.9,1.3,1.4,0,0,0.4,0.5,5.9,0,0,0,0.8,0.96,0,0,0,0,0.000571,0,3,0,0,0.6,1.92,0,0,0,29.348677,8,3
33,33,FB_0033_FCCS.xml,209,310,0.35937,1.617165,0,0,0.02989,0,0.021117,0.01739,0.828233,0,80,0,0.23,0,60,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0.001058,0.000901,0,1.4,1.96,0,0,0,0,0,0,0,0,0,0.2,0.64,0,0,0,5.739149,7,7
34,34,FB_0034_FCCS.xml,118,310,0.905612,0,3.429533,0.050975,0.080843,4.828077,4.050936,3.336065,2.223051,0,80,0,0.2,0,70,0,0.1,1.5,4,2,3,5,1.8,1.7,0,0.048302,0.029405,0,0.6,1.332,0,0,0,0,0.000592,0,3,0,0,1,6,0.002477,0,0,62.441681,8,1
36,36,FB_0036_FCCS.xml,11,260,1.20879,0,0,0,1.654398,0,1.176376,0.96878,3.220902,0,70,0,0.4,0,50,0,0.5,0.5,1,1,1,0.2,0.2,0.2,0.2,0.056573,0.011486,0,0.5,0.5375,0,0,0,0,0,0,0,0,0,1,3.2,0.008986,0,0,22.466896,9,9
37,37,FB_0037_FCCS.xml,144,260,7.400146,1.04361,0.178535,0.042664,0,1.536649,2.106295,1.734596,0.4911,2.604,85,90,0.3,0.01,50,60,0.1,1,1.5,1.2,2.5,0,0.6,2.5,0,0,0,0,0.3,0.759645,0,0,0.3,0.00225,0.000455,0,3,0,0,2,13.599999,0,0,0,68.653236,8,3
38,38,FB_0038_FCCS.xml,141,240,4.829932,10.161677,3.810628,0,0,0,9.91696,0,1.245,0.0219,95,95,0.2,0,80,0,1,2,2,3,3,7,0,0,0,0,0,0,1,3.01,0,0,0,0,0,0,3,0,0,0.8,6.4,0,0,0,79.177109,8,1
39,39,FB_0039_FCCS.xml,150,260,4.657436,12.450875,2.593344,0.011955,0.795828,0.344307,0.247387,0.215965,0.317759,0,60,0,0.1,0,50,0,0.4,2.1,1.1,2.6,1.5,0,0.7,0.4,0,0,0.125074,0,0.8,1.92064,0,0,0.3,0.0045,0,0,3,0,0,0.9,5.76,0.037868,0,0,92.807289,8,4
40,40,FB_0040_FCCS.xml,223,310,0,0,0,0,0,0,0,0,1.088266,0,80,0,0.08,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.168266,7,7
41,41,FB_0041_FCCS.xml,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.1,90,60,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.115,0,0,0.1,0.06,0,0,0,0,0,0,0,0,0,0,0.825,13,13
42,42,FB_0042_FCCS.xml,124,240,6.679839,0,0.608479,0.012489,5.496111,0.349469,0.250548,0.206334,0.01,0.01095,2,90,0.3,0.1,90,90,0.3,0.7,1.8,9,0.6,0,5,0,0,0.071089,0.010006,0,0.5,0.69,0,0,1,0.0075,0,0,0,1,9.900001,0.4,1.76,0,0,0,49.669003,9,9
43,43,FB_0043_FCCS.xml,148,310,1.798156,0,1.814361,0,0.60528,0,0.434898,0.358151,0.964925,0,95,0,0.1,0.4,85,85,0.1,0.4,0.8,1,0,0,0,0,0,0.050287,0,0,0.3,0.357,0,0,1,0.015,0,0,3,0.2,1.44,0.4,1.28,0.233521,0,0,24.127941,9,9
44,44,FB_0044_FCCS.xml,162,260,0,0,0,0,0,0,0,0,9.821751,0,75,0,0,0,0,0,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,2,4.65,0,0,0,0,0,0,0,0,0,0.1,0.6,0,0,0,16.071751,7,7
45,45,FB_0045_FCCS.xml,148,310,1.281971,0.880914,0.671695,0,0,0,2.07621,1.70982,1.766587,0,95,0,0.1,0,80,0,0.4,1,1,4,1,0,3,0.5,0,0.042072,0,0,1.5,2.2275,0,0,0,0,0,0,3,0.5,2.7,1,2.4,0.068261,0,0,33.301041,9,9
46,46,FB_0046_FCCS.xml,161,260,0,0,0,0,0,0,0,0,12.061473,0.172292,85,85,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0.2,2.16,0.4,1.92,0,0,0,19.113764,7,7
47,47,FB_0047_FCCS.xml,139,260,4.226191,9.04959,1.795674,0.019419,2.24493,9.812871,7.067123,5.819983,2.8467,0,70,0,0.5,0,70,0,0.4,2,3,8,12.000001,8,6,8,6,0.219255,5.002946,0,1,2.4008,0.1,5E-05,1.7,0.051,0.00173,0,0,2,35.199997,4.5,28.800001,0.097134,0,0,228.639648,8,1
48,48,FB_0048_FCCS.xml,141,260,9.879407,8.977715,2.806484,0,3.167309,0,2.261941,1.117665,4.240741,1.820617,90,90,0.1,0,80,0,0.5,1,2,2,1.5,1.5,2,2,4,0.070685,0.103377,0,1,3.07,0.5,0.0125,0.5,0.15,0,0,3,0.5,9,1.5,12.000001,0.114132,0,0,94.194153,8,1
49,49,FB_0049_FCCS.xml,166,320,0,0,0,0,0,0,0,0,0.388266,0,45,0,0.1,0,70,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.25,0.05285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841116,7,7
51,51,FB_0051_FCCS.xml,160,260,0,0,0,0,0,0,0,0,3.02464,6.195834,70,80,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,3,8.370001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.790474,7,7
52,52,FB_0052_FCCS.xml,118,240,1.816831,10.595665,1.109735,0.011597,0,0.939313,0.571511,2.148535,0.385008,0.111341,89,95,0.2,0.01,70,80,0.4,0.9,0.4,0.4,1.1,0.6,0.4,2.4,0,0.215656,0.245042,0,0.7,1.87614,0.1,0.0052,0.2,0.0408,0.000255,0,3,0,0,1.1,7.48,0,0,0,33.853325,8,1
53,53,FB_0053_FCCS.xml,10,330,9.217841,0,0.295013,0.122887,0,1.339378,0.85799,0.139176,0,0,0,0,0.05,0.01,50,50,0.1,1.5,1.5,8,3,0,3,1.5,0,0.038713,0.025883,0,0.6,1.52031,0.2,0.0015,0.4,0.126,0.082158,0,3,0,0,1.5,10.200001,0.036074,0,0,52.601997,8,8
54,54,FB_0054_FCCS.xml,118,310,3.335672,16.536085,5.880523,0,0,0,24.121771,0,0.261217,0,90,0,0.1,0.01,75,70,0.3,2.4,4.9,0.5,3,4,1,3,4,0,0.220538,0,0.8,2.2952,0.1,0.00025,0.1,0.0003,0.000526,0,3,0,0,2,15.200001,0.108222,0,0,76.804512,8,1
55,55,FB_0055_FCCS.xml,7,330,2.501215,0,1.975097,0,0,0,0,0,1.279752,0,80,0,0.6,0.01,50,50,0.2,0.4,0.8,0,0,0,0,0,0,0,0,0,0.1,0.0408,0.1,0.00175,0.1,0.00675,0,0,0,0,0,0.2,0.24,0,0,0,4.278293,5,5
56,56,FB_0056_FCCS.xml,186,330,0,0,0,0,0,0,0,0,4.496428,0,80,0,0.7,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0185,0.2,0.0048,0.3,0.02385,0,0,0,0,0,0,0,0,0,0,5.253577,13,13
57,57,FB_0057_FCCS.xml,1,330,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,65,45,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0221,0.1,0.0016,0.1,0.00225,0,0,0,0,0,0,0,0,0,0,0.13595,13,13
58,58,FB_0058_FCCS.xml,7,330,2.359767,0,1.196702,0.001912,0,0.100863,0.089986,0,0.149881,0,70,0,0.1,0.05,70,75,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0.1,0.00085,0.1,0.00345,0,0,0,0,0,0,0,0,0,0,1.085072,5,5
59,59,FB_0059_FCCS.xml,113,240,0.347008,5.218052,0.287496,0.434889,0,10.065519,3.619434,4.284497,2.866365,0,90,0,0.3,0,85,0,0.5,1,2,6.3,3.9,0.3,6.3,3.9,0.3,0,0,0,0.3,0.32454,0.2,0.005,0.7,0.5775,0,0,0.5,2,35.640003,1.2,8.160001,0.126949,0,0,116.919884,8,4
60,60,FB_0060_FCCS.xml,186,330,0,0,0,0,0,0,0,0,0.974885,0,50,0,0.1,0.1,50,60,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.1035,0.1,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,1.280885,13,13
61,61,FB_0061_FCCS.xml,115,240,7.67255,0,3.773385,0.123466,0,17.317125,20.768732,3.338148,0.911595,0,89,0,0.2,0,60,0,0.1,0.4,1.7,4.4,13.6,0,5.4,19.5,0,0.309601,0.17643,0,0.8,1.3944,0,0,0.5,0.0075,0,0,0.5,0.7,12.32,0.6,3.36,0.064866,0,0,115.755562,8,3
62,62,FB_0062_FCCS.xml,164,240,0,0,0,0,0,0,0,0,1.567678,1.15293,85,98,0.1,0.01,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.125,0.1,0.001,0.2,0.024,0,0,0,0,0,0,0,0,0,0,2.980608,7,7
63,63,FB_0063_FCCS.xml,171,240,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.1,95,90,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0575,0,0,0.7,0.0525,0,0,0,0,0,0,0,0,0,0,1.46,13,13
65,65,FB_0065_FCCS.xml,169,260,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.3,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.035,0,0,0,0,0,0,0,0,0,0.1,0.72,0,0,0,3.555,13,13
66,66,FB_0066_FCCS.xml,1,250,0,0,0,0,0,0,0,0,0.081548,0,100,0,1,0.01,85,70,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.2875,0,0,0,0,0,0,0,0,0,0.2,1.12,0,0,0,2.499048,13,13
67,67,FB_0067_FCCS.xml,118,340,2.529964,3.23433,0,0.086358,0,8.974138,6.461306,5.321075,4.309235,0,90,0,0.75,0,75,0,0.5,1.4,1.2,4,2,0,1.6,1,0,0.285548,0.172295,0,0.7,1.8207,0,0,0.2,0.0045,0.000275,0,3,0,0,2,12.799999,0.00991,0,0,70.702721,8,1
69,69,FB_0069_FCCS.xml,145,260,0.0276,0,0.00345,0,0,0,0,0,3.74957,0,93,0,0.2,0,90,0,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0.2,0.053,0,0,0,0,0.000424,0,0,0,0,0.2,0.16,0,0,0,5.211676,5,5
70,70,FB_0070_FCCS.xml,113,330,6.916615,2.445154,0.192622,0.185149,0,6.51486,4.68269,3.92786,2.835688,0,85,0,0.2,0,70,0,0.3,1.2,2.5,12.000001,7,0,8.700001,5.5,0,0.124903,0.092657,0,0.8,1.4304,0,0,0.5,0.0075,0,0,0.5,0.6,9.72,0.6,4.32,0.129733,0,0,84.392387,8,4
71,71,FB_0071_FCCS.xml,400,420,2.950101,0,0,0,0,0,0,0,5.058075,0,80,0,0.5,0.1,80,75,0.4,0.5,0.8,0.4,0,0,0.5,0,0,0,0,0,1.2,1.24848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.014484,9,9
72,72,FB_0072_FCCS.xml,400,420,3.946536,0,0,0,0.086049,0,0.058738,0.048372,0.4456,0,80,0,6,0.3,95,95,0.2,0.4,0,0,0,0,0,0,0,0,0,0,1.8,5.301,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,41.979698,9,9
73,73,FB_0073_FCCS.xml,400,420,17.981567,0,0,0,2.1954,0,1.571488,1.294167,0.68,0,80,0,3,0,80,0,0.9,1.4,4.5,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,1.8,4.8924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.567394,9,9
74,74,FB_0074_FCCS.xml,400,420,2.981464,0,0,0,6.725562,0,4.770648,3.928769,0.21,0,80,0,0.7,0.02,80,80,0.2,0.7,2.2,1.9,0,0,1.9,0,0,0,0,0,1,2.1684,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30.587261,9,9
75,75,FB_0075_FCCS.xml,400,420,5.79447,0,0.128726,0,0,0,0,1.187425,0.11896,0,90,0,0,0,0,0,0.1,1.2,1.9,0.5,1.5,1,0.5,1.5,1,0,0,0,2.5,7.35,0,0,0,0,0.059678,0,0,0,0,3,22.800001,0,0,0,59.642925,9,9
76,76,FB_0076_FCCS.xml,400,420,2.095846,0,0,0,0,0,0.808597,2.730204,0.0165,0,90,0,3,0.02,80,90,0.1,0.4,0.5,0.5,1.5,0.3,0.5,1.5,0.3,0,0,0,2.2,5.8311,0,0,0,0,0,0,0,0,0,2.2,16.720001,0,0,0,46.861534,9,9
77,77,FB_0077_FCCS.xml,400,420,5.488559,7.579439,4.05108,0,0,0,0.998115,9.86372,1.36,0,90,0,0.05,0,80,0,0.8,3.3,4.2,4,1,6,2,0.5,0.5,0,0,0,1.8,5.4684,0,0,0,0,0.000878,0,0.1,0,0,1.7,13.328001,0.132121,0,0,94.89061,9,9
78,78,FB_0078_FCCS.xml,403,420,0,0,0,0,0,0,0,0,6.3672,0,80,0,0.9,0,80,0,1.1,2.5,0.6,0,0,0,0,0,0,0,0,0,1.3,1.5912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.058401,9,9
79,79,FB_0079_FCCS.xml,404,420,0,0,0,0,0,0,0,0,0.78705,0,90,0,2.5,0,80,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96205,9,9
